id,day_of_week,hour_of_day,total_calories,avg_activity_level
1503960366,1,0,239.4755159,0.1125
1503960366,1,1,209.5250567,0.04166666667
1503960366,1,2,191.7572973,0.008333333333
1503960366,1,3,191.7572973,0.008333333333
1503960366,1,4,191.7491373,0.008333333333
1503960366,1,5,189.8686773,0
1503960366,1,6,191.9054173,0.008333333333
1503960366,1,7,193.8001572,0.0125
1503960366,1,8,199.778577,0.02916666667
1503960366,1,9,221.6422564,0.08333333333
1503960366,1,10,245.7081357,0.1333333333
1503960366,1,11,242.2485558,0.1291666667
1503960366,1,12,307.8348246,0.2583333333
1503960366,1,13,279.5706947,0.2
1503960366,1,14,309.244514,0.275
1503960366,1,15,273.8844349,0.1916666667
1503960366,1,16,314.5341336,0.2458333333
1503960366,1,17,437.2394602,0.5958333333
1503960366,1,18,670.6739108,1.1
1503960366,1,19,543.9535592,0.8541666667
1503960366,1,20,414.4648419,0.5791666667
1503960366,1,21,339.2684141,0.3791666667
1503960366,1,22,338.694293,0.3791666667
1503960366,1,23,350.1892127,0.4041666667
1503960366,2,0,255.0604556,0.1583333333
1503960366,2,1,208.4290568,0.04166666667
1503960366,2,2,198.5211971,0.025
1503960366,2,3,190.6561973,0.004166666667
1503960366,2,4,191.4426973,0.008333333333
1503960366,2,5,191.7460774,0.008333333333
1503960366,2,6,222.8376371,0.09166666667
1503960366,2,7,213.8325567,0.05
1503960366,2,8,257.1206549,0.1541666667
1503960366,2,9,478.8339804,0.4916666667
1503960366,2,10,305.1810141,0.2416666667
1503960366,2,11,345.4192137,0.2541666667
1503960366,2,12,441.4202604,0.5625
1503960366,2,13,303.3300238,0.1833333333
1503960366,2,14,252.7621551,0.1041666667
1503960366,2,15,284.9984541,0.1625
1503960366,2,16,412.6275948,0.525
1503960366,2,17,343.8293145,0.3125
1503960366,2,18,453.85115,0.6416666667
1503960366,2,19,527.6179281,0.7
1503960366,2,20,499.6890205,0.75
1503960366,2,21,622.2833893,1.004166667
1503960366,2,22,307.0581939,0.2416666667
1503960366,2,23,263.8006952,0.1583333333
1503960366,3,0,285.3134973,0.09
1503960366,3,1,291.8231971,0.1066666667
1503960366,3,2,252.9402982,0.02666666667
1503960366,3,3,265.1597178,0.06
1503960366,3,4,236.4380788,0
1503960366,3,5,238.0080187,0.003333333333
1503960366,3,6,240.6668188,0.01
1503960366,3,7,277.587438,0.09666666667
